CAMERA TYPE,CAMERA LOCATION CODE,LOCATION DESCRIPTION,Location
RED LIGHT AND SPEED CAMERA,1002,NORTHBOURNE AVENUE/BARRY DRIVE/COOYONG STREET,"(-35.2761, 149.12948)"
RED LIGHT AND SPEED CAMERA,1006,NORTHBOURNE AVENUE/ANTILL STREET/MOUAT STREET,"(-35.24783, 149.13412)"
FIXED ONLY SPEED CAMERA,1033N,TUGGERANONG PARKWAY NEAR HINDMARSH DRIVE UNDERPASS,"(-35.34778, 149.069481)"
MOBILE SPEED CAMERA,0142F,"Sutton Rd, Canberra ACT, Australia","(-35.27295, 149.25982)"
MOBILE SPEED CAMERA,3051A,"160 Wheeler Cres, Wanniassa ACT 2903, Australia","(-35.394878, 149.080477)"
MOBILE SPEED CAMERA,0097C,"Eastern Valley Way, Bruce ACT 2617, Australia","(-35.2452, 149.07488)"
MOBILE SPEED CAMERA,0127A,"63 Ebden St, Ainslie ACT 2602, Australia","(-35.26342, 149.14692)"
MOBILE SPEED CAMERA,0182C,"62 Outtrim Ave, Calwell ACT 2905, Australia","(-35.43617, 149.10234)"
MOBILE SPEED CAMERA,0071C,"Woden Squash Courts, 4 Launceston St, Phillip ACT 2606, Australia","(-35.34083, 149.08489)"
MOBILE SPEED CAMERA,0115C,"Isabella Dr, Gowrie ACT 2904, Australia","(-35.41946, 149.10975)"
MOBILE SPEED CAMERA,0252A,"30 Don Dunstan Dr, Bonython ACT 2905, Australia","(-35.428704, 149.072433)"
RED LIGHT AND SPEED CAMERA,1025,GUNGAHLIN DRIVE/GUNDAROO DRIVE,"(-35.1863, 149.1191)"
MOBILE SPEED CAMERA,0192A,"103 Dunstan St, Curtin ACT 2605, Australia","(-35.32132, 149.07186)"
MOBILE SPEED CAMERA,0243D,"Majura Parkway, Canberra ACT 2609, Australia","(-35.249873, 149.188673)"
MOBILE SPEED CAMERA,0003E,"Athllon Dr, Farrer ACT 2607, Australia","(-35.37568, 149.09309)"
MOBILE SPEED CAMERA,0061Q,"2 Barton Hwy, Lyneham ACT 2602, Australia","(-35.23714, 149.13319)"
MOBILE SPEED CAMERA,0015C,"221 Kingsford Smith Dr, Spence ACT 2615, Australia","(-35.19913, 149.06186)"
MOBILE SPEED CAMERA,0159C,"77 Arthur Cir, Forrest ACT 2603, Australia","(-35.31959, 149.12164)"
MOBILE SPEED CAMERA,0117A,"Tharwa Dr, Calwell ACT 2905, Australia","(-35.43855, 149.12356)"
MOBILE SPEED CAMERA,0256D,"171 Bugden Ave, Fadden ACT 2904, Australia","(-35.409188, 149.119321)"
MOBILE SPEED CAMERA,3040A,"69 Nemarang Cres, Waramanga ACT 2611, Australia","(-35.353754, 149.060072)"
MOBILE SPEED CAMERA,0015K,"Kingsford Smith Dr, Melba ACT 2615, Australia","(-35.21208, 149.04775)"
MOBILE SPEED CAMERA,0056A,"Athllon Dr, Greenway ACT 2900, Australia","(-35.4055, 149.06421)"
MOBILE SPEED CAMERA,0015D,"142 Kingsford Smith Dr, Melba ACT 2615, Australia","(-35.20312, 149.05728)"
MOBILE SPEED CAMERA,0005B,"9 Bowen Dr, Barton ACT 2600, Australia","(-35.30591, 149.13967)"
MOBILE SPEED CAMERA,0126B,"Redfern St, Macquarie ACT 2614, Australia","(-35.25617, 149.06679)"
MOBILE SPEED CAMERA,0099B,"Yamba Dr, Phillip ACT 2606, Australia","(-35.34244, 149.09659)"
MOBILE SPEED CAMERA,0207B,"5 Fairfax St, O'Connor ACT 2602, Australia","(-35.25889, 149.11404)"
